reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.88562403,42.92670903,0,3924,0,187.5790185,2020/10/09 22:03:25+00,,,,,,,,,,,,,,,,,,,,,
-78.87692178,42.95197579,0,3925,0,184.0750859,2020/10/10 11:48:55+00,,,,,,,,,,,,,,,,,,,,,
-78.88563932,42.92670951,0,3926,0,187.2504051,2020/10/12 16:55:55+00,,,,,,,,,,,,,,,,,,,,,
-78.87164953,42.92806366,0,3927,0,186.7013033,2020/10/08 21:21:10+00,,,,,,,,,,,,,,,,,,,,,
-78.88557182,42.92669514,0,3928,0,187.447117,2020/10/09 22:03:26+00,,,,,,,,,,,,,,,,,,,,,
-78.87686154,42.9519799,0,3929,0,184.0750859,2020/10/10 11:49:01+00,,,,,,,,,,,,,,,,,,,,,
-78.88567782,42.92664543,0,3930,0,187.0542297,2020/10/12 16:55:56+00,,,,,,,,,,,,,,,,,,,,,
-78.87185452,42.92805636,0,3931,0,186.5815551,2020/10/08 21:21:11+00,,,,,,,,,,,,,,,,,,,,,
-78.8855369,42.92668059,0,3932,0,186.9121547,2020/10/09 22:03:27+00,,,,,,,,,,,,,,,,,,,,,
-78.87688995,42.9519754,0,3933,0,184.0750859,2020/10/10 11:49:07+00,,,,,,,,,,,,,,,,,,,,,
-78.88566237,42.92662979,0,3934,0,187.3968421,2020/10/12 16:55:58+00,,,,,,,,,,,,,,,,,,,,,
-78.87205293,42.92805123,0,3935,0,186.3529113,2020/10/08 21:21:12+00,,,,,,,,,,,,,,,,,,,,,
-78.88552052,42.92666687,0,3936,0,187.2518149,2020/10/09 22:03:28+00,,,,,,,,,,,,,,,,,,,,,
-78.87691989,42.95197508,0,3937,0,184.0750859,2020/10/10 11:49:13+00,,,,,,,,,,,,,,,,,,,,,
-78.8856411,42.92663922,0,3938,0,185.3086028,2020/10/12 16:56:03+00,,,,,,,,,,,,,,,,,,,,,
-78.87223636,42.92804723,0,3939,0,186.4398947,2020/10/08 21:21:13+00,,,,,,,,,,,,,,,,,,,,,
-78.88561841,42.92664213,0,3940,0,187.0517503,2020/10/09 22:03:33+00,,,,,,,,,,,,,,,,,,,,,
-78.87693243,42.95193793,0,3941,0,184.0750859,2020/10/10 11:49:20+00,,,,,,,,,,,,,,,,,,,,,
-78.88567754,42.92664746,0,3942,0,185.0935473,2020/10/12 16:56:05+00,,,,,,,,,,,,,,,,,,,,,
-78.87239045,42.92804345,0,3943,0,186.1479335,2020/10/08 21:21:14+00,,,,,,,,,,,,,,,,,,,,,
-78.8856097,42.92662521,0,3944,0,187.3721451,2020/10/09 22:03:35+00,,,,,,,,,,,,,,,,,,,,,
-78.87690886,42.95195956,0,3945,0,184.0750859,2020/10/10 11:49:25+00,,,,,,,,,,,,,,,,,,,,,
-78.88567464,42.92664776,0,3946,0,185.3567612,2020/10/12 16:56:10+00,,,,,,,,,,,,,,,,,,,,,
-78.87251357,42.92804421,0,3947,0,186.1263063,2020/10/08 21:21:15+00,,,,,,,,,,,,,,,,,,,,,
-78.88560663,42.92661903,0,3948,0,187.3060064,2020/10/09 22:03:36+00,,,,,,,,,,,,,,,,,,,,,
-78.87690367,42.95193175,0,3949,0,184.0750859,2020/10/10 11:49:31+00,,,,,,,,,,,,,,,,,,,,,
-78.88567464,42.92664776,0,3950,0,185.3567612,2020/10/12 16:56:14+00,,,,,,,,,,,,,,,,,,,,,
-78.87261199,42.92804201,0,3951,0,185.8881249,2020/10/08 21:21:16+00,,,,,,,,,,,,,,,,,,,,,
-78.88567133,42.92665064,0,3952,0,187.3896073,2020/10/09 22:03:37+00,,,,,,,,,,,,,,,,,,,,,
-78.87690064,42.95195942,0,3953,0,184.0750859,2020/10/10 11:49:43+00,,,,,,,,,,,,,,,,,,,,,
-78.88569547,42.92666309,0,3954,0,186.5988531,2020/10/12 16:56:19+00,,,,,,,,,,,,,,,,,,,,,
-78.87269845,42.92804325,0,3955,0,185.8400961,2020/10/08 21:21:17+00,,,,,,,,,,,,,,,,,,,,,
-78.88568273,42.92663429,0,3956,0,187.1052224,2020/10/09 22:03:40+00,,,,,,,,,,,,,,,,,,,,,
-78.87692275,42.95197095,0,3957,0,184.0750859,2020/10/10 11:49:55+00,,,,,,,,,,,,,,,,,,,,,
-78.88572633,42.92667442,0,3958,0,185.9893046,2020/10/12 16:56:20+00,,,,,,,,,,,,,,,,,,,,,
-78.87277417,42.92804197,0,3959,0,185.8366947,2020/10/08 21:21:18+00,,,,,,,,,,,,,,,,,,,,,
